"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"available";-0,02;0,328;-1,583;-0,032;0,105;2,932;-0,334
"yet";-1,324;-0,128;0,401;-0,032;0,105;-0,728;1,319
"without";0,493;0,166;-1,761;-1,534;0,025;-0,81;3,091
"under";0,176;-2,222;-2,12;-0,246;0,393;5,537;0,336
"rather";-0,129;-0,34;0,103;-0,159;-0,612;0,047;2,349
"must";-1,175;-0,052;0,671;-1,223;0,26;-0,646;1,924
"further";-1,623;1,214;0,103;1,965;0,635;-0,893;-2,548
"was";0,493;-1,846;-1,761;-1,534;3,285;2,359;0,014
"try";0,017;0,945;-1,227;-1,069;0,523;0,491;-0,085
"though";-1,773;0,015;-0,403;0,135;4,579;-0,975;-0,029
"then";0;-0,052;-0,033;-1,223;5,559;-0,646;-0,196
"others";0,493;-1,846;0,22;-1,534;6,97;-0,81;-0,491
"consider";-1,773;-0,467;-2,12;-1,846;-0,017;0,016;18,724
"changes";1,617;-0,007;-1,227;0,008;2,925;-0,565;-1,611
"really";-1,623;0,067;-1,94;-0,159;15,647;0,047;-2,548
"however";-0,02;0,328;-1,583;-0,032;1,428;-0,728;0,081
"done";-0,065;-1,846;-1,761;-0,087;12,025;-0,81;0,014
"come";-1,026;-1,286;-0,001;-1,069;2,925;-0,565;2,766
"beyond";-1,473;1,666;-1,761;-0,087;0,025;0,101;0,881
"why";0,017;-1,286;-1,227;-1,069;2,925;-0,565;2,766
"two";0,752;-0,128;-1,583;-1,378;1,428;2,932;-0,334
"towards";0;3,042;-1,405;1,002;-0,171;-0,646;-0,196
"self";-1,473;0,166;-0,184;0,421;0,97;0,101;-0,491
"say";-0,02;0,328;-1,583;-0,032;-0,301;0,185;1,319
"myself";-1,175;-1,472;-1,405;-1,223;5,559;-0,646;5,3
"either";-0,02;-0,128;2,493;-1,378;0,105;-0,728;0,081
"around";0;-0,052;-1,405;-1,223;2,056;0,309;0,223
"among";-1,175;0,575;-1,405;-0,003;-0,171;-0,646;5,3
"across";-1,473;-0,226;-0,184;-1,534;6,97;0,101;0,014
"able";-1,473;-1,846;-1,761;-0,087;0,97;7,583;0,881
"various";-0,02;2,258;-0,098;-0,032;0,105;-0,728;-0,334
"seeing";0,017;-1,286;-0,001;-1,069;0,523;0,491;0,47
"particular";-0,584;0,286;-0,698;-0,608;-0,889;-0,321;8,486
"name";0;0,575;-1,405;-1,223;2,056;0,309;-0,196
"looking";0;-0,052;-0,033;1,002;2,056;-0,646;-1,844
"least";-0,02;-0,128;-1,583;-1,378;4,272;0,185;0,081
"happens";0;-0,052;-1,405;-1,223;0,26;-0,646;5,3
"each";-0,878;-1,101;0,017;-0,915;9,635;-0,483;-0,014
"cannot";-1,175;0,575;-1,405;-1,223;0,26;3,669;0,223
"believe";-0,878;-1,101;1,654;-0,915;4,157;-0,483;-0,014
"were";-0,878;0,008;-1,05;-0,915;0,948;5,954;-0,014
"want";0;-1,472;-0,033;-1,223;5,559;-0,646;0,223
"useful";0,017;-1,286;-1,227;-1,069;-0,069;0,491;6,973
"themselves";0,245;0,082;-0,874;-0,761;0,012;-0,402;1,534
"seems";0,017;-1,286;-1,227;0,008;0,523;0,491;0,47
"re";2,337;1,498;-1,05;0,067;-1,338;-0,483;-0,014
"otherwise";-1,175;0,575;-0,033;1,002;2,056;-0,646;-1,844
"no";0,017;-1,286;-1,227;-1,069;2,925;0,491;0,47
"itself";0,017;-0,007;-1,227;0,008;0,523;-0,565;0,47
"i_ll";-0,878;-1,101;-1,05;-0,915;17,382;-0,483;-0,014
"get";-0,731;-0,916;-0,874;-0,761;13,022;-0,402;0,007
"anyone";-1,175;-0,052;-1,405;-0,003;0,26;10,726;-0,196
"3";0;-0,052;-1,405;-0,003;-1,79;0,309;5,3
"that_s";-0,584;-0,732;0,334;-0,608;2,763;-0,321;0,111
"since";1,617;-1,286;-1,227;0,008;-0,069;0,491;0,47
"over";-1,026;-1,286;-1,227;-1,069;7,275;0,491;0,47
"novel";0,245;-0,916;0,109;-0,761;1,63;-0,402;0,007
"needs";0,017;0,945;-1,227;-1,069;0,523;0,491;-0,085
"less";-0,584;-0,732;-0,698;-0,608;8,79;1,823;-0,917
"last";-0,878;-1,101;-1,05;-0,915;17,382;-0,483;-0,014
"every";0,017;-0,007;-0,001;-1,069;2,925;-0,565;-0,085
"ever";-1,026;-0,007;-1,227;1,481;0,523;0,491;-0,085
"else";-0,878;0,008;-1,05;-0,915;0,948;5,954;-0,014
"does";-0,878;-1,101;-1,05;-0,915;9,635;0,761;-0,014
"did";0,553;-0,732;-0,698;-0,608;0,129;-0,321;2,634
"before";0,087;0,008;-1,05;-0,915;-1,338;0,761;3,963
"associated";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"anything";0,245;0,082;-0,874;-0,761;-1,113;1,17;1,534
"always";-0,878;0,008;-1,05;-0,915;0,948;-0,483;3,963
"whatever";7,626;-1,101;0,017;-0,915;-0,008;-0,483;-0,014
"trying";-0,878;-1,101;0,017;0,067;9,635;-0,483;-1,379
"non";-0,584;0,286;-0,698;-0,608;-0,889;1,823;2,634
"i_ve";10,2;-0,916;-0,874;-0,761;0,012;-0,402;0,007
"having";0,087;-1,101;-1,05;-0,915;4,157;0,761;-0,014
"few";0,553;-0,732;-0,698;0,498;2,763;-0,321;-0,917
"especially";-0,731;-0,916;-0,874;0,209;0,012;7,827;0,007
"down";0,553;0,286;-0,698;-0,608;2,763;-0,321;-0,917
"course";-0,437;-0,548;-0,523;1,08;0,472;-0,241;0,436
"your";0,245;0,082;-0,874;-0,761;1,63;-0,402;0,007
"too";3,401;-0,916;-0,874;3,193;-1,113;-0,402;0,007
"thus";3,401;0,082;-0,874;-0,761;0,012;-0,402;0,007
"someone";-0,584;0,286;-0,698;-0,608;2,763;-0,321;0,111
"quite";1,163;-0,548;-0,523;-0,455;-0,666;-0,241;4,617
"perhaps";0,245;-0,916;-0,874;-0,761;0,012;-0,402;5,728
"once";-0,731;-0,916;-0,874;0,209;5,967;1,17;-1,148
"merely";0,245;-0,916;0,109;-0,761;0,012;-0,402;1,534
"instead";3,401;2,345;-0,874;-0,761;0,012;-0,402;-1,148
"gives";0,245;-0,916;-0,874;-0,761;0,012;1,17;1,534
"given";-0,731;0,082;-0,874;-0,761;1,63;-0,402;1,534
"everyone";-0,584;0,286;-0,698;-0,608;2,763;1,823;-0,917
"et";-0,584;-0,732;-0,698;0,498;0,129;-0,321;2,634
"doesn_t";3,401;-0,916;-0,874;-0,761;0,012;-0,402;1,534
"d";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"asking";0,553;0,286;-0,698;4,801;-0,889;-0,321;-0,917
"another";-0,584;0,286;-0,698;-0,608;2,763;-0,321;0,111
"although";-0,731;-0,916;-0,874;-0,761;1,63;-0,402;5,728
"01";1,163;-0,548;-0,523;-0,455;0,472;-0,241;0,436
"we_re";0,553;-0,732;-0,698;0,498;0,129;-0,321;0,111
"via";-0,584;-0,732;0,334;-0,608;0,129;1,823;0,111
"upon";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"therefore";1,163;-0,548;-0,523;1,08;-0,666;-0,241;0,436
"sometimes";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"seem";-0,584;-0,732;-0,698;-0,608;2,763;-0,321;2,634
"probably";-0,584;-0,732;0,334;-0,608;0,129;1,823;0,111
"plus";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"maybe";0,553;-0,732;-0,698;-0,608;0,129;1,823;0,111
"going";-0,584;-0,732;-0,698;-0,608;0,129;-0,321;8,486
"far";14,13;0,286;-0,698;-0,608;-0,889;-0,321;-0,917
"currently";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"considering";0,553;-0,732;0,334;-0,608;-0,889;-0,321;2,634
"co";-0,584;0,286;-0,698;-0,608;2,763;1,823;-0,917
"again";0,553;-0,732;-0,698;-0,608;2,763;1,823;-0,917
"actually";-0,584;-0,732;-0,698;0,498;8,79;-0,321;-0,917
"2009";0,553;-0,732;-0,698;-0,608;-0,889;1,823;2,634
"0";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"whole";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"welcome";-0,437;0,746;-0,523;-0,455;4,795;-0,241;-0,686
"truly";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"toward";-0,437;6,088;-0,523;-0,455;-0,666;2,963;-0,686
"soon";-0,437;0,746;-0,523;-0,455;0,472;-0,241;0,436
"second";-0,437;0,746;-0,523;1,08;-0,666;-0,241;0,436
"particularly";-0,437;-0,548;-0,523;1,08;0,472;2,963;-0,686
"outside";-0,437;0,746;-0,523;-0,455;-0,666;-0,241;4,617
"look";-0,437;-0,548;-0,523;-0,455;4,795;2,963;-0,686
"let";1,163;-0,548;-0,523;1,08;0,472;-0,241;-0,686
"latter";-0,437;-0,548;0,823;-0,455;-0,666;15,471;-0,686
"isn_t";-0,437;-0,548;-0,523;-0,455;4,795;-0,241;0,436
"everything";-0,437;0,746;-0,523;-0,455;-0,666;2,963;0,436
"entirely";-0,437;-0,548;-0,523;-0,455;0,472;2,963;0,436
"enough";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"couldn_t";-0,437;0,746;-0,523;-0,455;4,795;-0,241;-0,686
"comes";-0,437;-0,548;-0,523;1,08;4,795;-0,241;-0,686
"com";20,773;-0,548;-0,523;-0,455;-0,666;-0,241;-0,686
"certain";-0,437;-0,548;-0,523;-0,455;0,472;-0,241;4,617
"apart";-0,437;0,746;-0,523;-0,455;4,795;-0,241;-0,686
"already";-0,437;-0,548;-0,523;-0,455;4,795;2,963;-0,686
"almost";-0,437;-0,548;-0,523;-0,455;4,795;2,963;-0,686
"above";-0,437;6,088;-0,523;-0,455;0,472;-0,241;-0,686
"*year_2012-01-01";2,871;-0,033;6,192;7,265;-5,024;-2,391;-6,942
"*year_2011-01-01";-1,216;-0,502;-0,243;-5,712;4,369;1,686;1,397
"*year_2010-01-01";-3,507;1,08;-0,11;0,003;-4,245;1,762;4,177
"*year_2009-01-01";-2,838;0,483;-1,407;-1,06;-0,07;5,334;2,197
"*year_2014-01-01";1,042;-0,007;-1,807;-0,045;2,817;-1,488;-0,05
